Order ID,Product Name,Category,Price,Quantity,Date
ORD321,,Clothing,,-1,2024/02/05
, MESSI ,Home,222.23,9,2024/02/05
ORD323,,,,,
324,messi,Clothing,N/A,6,13-13-2023
,messi,??,,10,
,Messi,,N/A,-1,
,Messi,,,-1,13-13-2023
328,messi,Electronics,314.02,,13-13-2023
, MESSI ,Electronics,,-1,
, MESSI ,Home,191.75,-1,
,Messi!!,??,N/A,-1,
,messi,??,N/A,,13-13-2023
333,messi,Home,N/A,,
334,messi,Clothing,77.56,,13-13-2023
,Messi#,??,,10,
,Messi,Electronics,,7,2023-01-01
,Messi#,,N/A,-1,13-13-2023
ORD338, MESSI ,,120.12,,
, MESSI ,,N/A,2,
ORD340,,Electronics,,9,2024/02/05
341,,Clothing,437.0,,13-13-2023
342,Messi!!,Electronics,,8,13-13-2023
,Messi,Clothing,,9,2023-01-01
ORD344, MESSI ,Electronics,N/A,3,13-13-2023
ORD345,,Electronics,468.23,3,13-13-2023
346,Messi!!,Home,,,
,,Electronics,44.58,,
,Messi!!,Home,,-1,
ORD349,Messi#,??,N/A,-1,13-13-2023
ORD350,Messi!!,Clothing,N/A,-1,2023-01-01
ORD351,Messi!!,Electronics,,-1,2023-01-01
,Messi#,Clothing,18.28,,13-13-2023
ORD353,Messi,,N/A,,
354,Messi#,,N/A,6,13-13-2023
ORD355,,Clothing,N/A,,2023-01-01
ORD356,Messi#,Electronics,,,
ORD357,,Electronics,N/A,4,
ORD358,Messi!!,,357.16,,2023-01-01
,messi,,,5,2024/02/05
,messi,Clothing,N/A,,
361, MESSI ,,N/A,,
362,Messi#,,,9,
,,,,-1,2023-01-01
, MESSI ,Clothing,N/A,6,
ORD365,Messi!!,Clothing,430.45,-1,
,Messi,Electronics,86.73,,2024/02/05
, MESSI ,,,7,2024/02/05
,messi,,,5,13-13-2023
369,Messi#,Home,265.43,,
,messi,Electronics,N/A,3,2024/02/05
,,,N/A,,
,,Electronics,324.71,,2024/02/05
, MESSI ,,417.75,,2023-01-01
, MESSI ,??,,,
,Messi!!,,,,2024/02/05
,Messi!!,Clothing,248.43,-1,
377, MESSI ,Electronics,N/A,,13-13-2023
, MESSI ,Home,,,
,,??,,,
ORD380, MESSI ,Home,,,13-13-2023
ORD381,Messi,Clothing,,9,
ORD382,,Clothing,,,
383, MESSI ,Clothing,,5,13-13-2023
384, MESSI ,,,,2024/02/05
,Messi#,Home,,,2023-01-01
,,Electronics,,-1,2023-01-01
ORD387,,Home,,,
ORD388, MESSI ,Electronics,,1,2023-01-01
,Messi#,,,,2024/02/05
390,,??,,,
391,Messi,Electronics,333.76,,
,messi,Home,,,2024/02/05
393,Messi!!,Electronics,282.34,5,13-13-2023
,Messi!!,,N/A,-1,13-13-2023
395,Messi,??,,,
,Messi,Home,,4,
ORD397,Messi#,,,5,
,Messi#,Electronics,,,2023-01-01
,Messi#,,,-1,13-13-2023
ORD400,Messi,,,,2024/02/05
401,messi,Clothing,455.13,8,13-13-2023
402,messi,??,N/A,,13-13-2023
,Messi#,Clothing,,-1,2023-01-01
,Messi!!,,,,
405,Messi!!,Home,,9,2024/02/05
,messi,Home,N/A,-1,13-13-2023
,messi,Clothing,,,
408,,??,,,2024/02/05
ORD409,messi,??,N/A,,
410,messi,Electronics,N/A,10,2023-01-01
411, MESSI ,,N/A,1,2023-01-01
,Messi#,??,N/A,,2024/02/05
ORD413, MESSI ,,256.54,-1,13-13-2023
ORD414,Messi!!,Clothing,N/A,,
,,Home,,,
416,Messi,Electronics,445.12,,
ORD417,,Home,,,2024/02/05
418, MESSI ,Electronics,N/A,,13-13-2023
,Messi!!,Clothing,N/A,-1,13-13-2023
, MESSI ,Clothing,378.54,,2024/02/05
421,messi,??,,9,2024/02/05
422,messi,Clothing,445.45,-1,
ORD423,,Clothing,,,
,Messi#,Clothing,,,
,,??,466.71,-1,
,,,202.41,-1,13-13-2023
,Messi!!,??,N/A,,2024/02/05
,Messi,Home,,,
429,messi,Clothing,,-1,13-13-2023
, MESSI ,Clothing,N/A,,2023-01-01
,Messi#,Electronics,,,
,messi,Home,,,2024/02/05
,Messi!!,,,,2024/02/05
,Messi#,Home,,,
435,Messi!!,,,10,
436,Messi#,,N/A,-1,
, MESSI ,,,,2024/02/05
,Messi!!,??,N/A,,2023-01-01
ORD439,Messi!!,Clothing,,1,2024/02/05
,Messi!!,,255.74,-1,
, MESSI ,,,-1,
442,,,N/A,-1,
,Messi,,,,
,Messi,Home,,-1,
ORD445,messi,Electronics,N/A,-1,2023-01-01
446,,,,,
447,messi,Clothing,236.6,-1,
,Messi#,,457.26,-1,2024/02/05
,Messi,Clothing,435.97,-1,2024/02/05
ORD450,Messi!!,??,426.37,,2024/02/05
451, MESSI ,Electronics,N/A,,2023-01-01
,,Electronics,,10,2024/02/05
,,Electronics,481.34,1,13-13-2023
,messi,Electronics,,-1,2023-01-01
ORD455,,Electronics,,-1,13-13-2023
,Messi!!,??,N/A,8,
457,Messi!!,??,189.75,,13-13-2023
,Messi,Clothing,N/A,-1,
,Messi,,386.74,10,2024/02/05
460,,,N/A,,2023-01-01
,,Electronics,373.73,,
ORD462,,??,21.47,,
,messi,,,,
ORD464, MESSI ,Home,N/A,,2024/02/05
465,Messi,Home,,,
466,,??,464.41,9,
467,,Home,N/A,,2024/02/05
,Messi,,,-1,
469,Messi,Electronics,,,2023-01-01
,,Clothing,,,
,Messi#,Clothing,,,
ORD472,,Electronics,,,
,messi,Electronics,,10,
ORD474,Messi!!,??,N/A,,2023-01-01
475,messi,,,7,13-13-2023
476,Messi,Home,458.98,,13-13-2023
,,??,,,
,messi,Electronics,318.72,6,13-13-2023
,,,296.35,,
,Messi,Clothing,265.52,,2024/02/05
481,,,,,13-13-2023
ORD482,messi,Home,,5,
,,Electronics,,,
,,??,,-1,2023-01-01
,Messi!!,,,,13-13-2023
ORD486,messi,,161.28,5,
,,,476.06,6,
488, MESSI ,Clothing,,1,
,Messi,,,,13-13-2023
490,messi,??,185.35,,
,messi,??,272.49,-1,
,Messi#,Home,N/A,6,2023-01-01
493,messi,Electronics,32.58,-1,
494,messi,,,-1,2024/02/05
ORD495, MESSI ,Electronics,,,13-13-2023
ORD496,,Home,,,2024/02/05
,,Home,,,
,Messi,Clothing,,,13-13-2023
499,Messi!!,??,,8,13-13-2023
,messi,,,,
501,,Electronics,N/A,,13-13-2023
502,messi,Home,,-1,
,Messi!!,,,-1,
, MESSI ,??,,2,13-13-2023
,,Electronics,,-1,2023-01-01
,Messi!!,,437.97,,2023-01-01
ORD507,Messi!!,Home,N/A,,13-13-2023
ORD508,Messi#,Clothing,63.0,,2023-01-01
ORD509,,,,,2023-01-01
,Messi,Electronics,,,
,Messi!!,Electronics,N/A,,
ORD512,,,122.5,4,
ORD513,,Clothing,,,
,,Electronics,N/A,,
,,??,,,2024/02/05
ORD516,Messi!!,Home,,,
,,,454.97,,13-13-2023
,Messi!!,Clothing,106.46,,13-13-2023
ORD519,,??,N/A,,
,,Clothing,319.98,-1,2024/02/05
,,,N/A,,2023-01-01
ORD522, MESSI ,Clothing,225.95,-1,13-13-2023
, MESSI ,??,234.68,,
ORD524,Messi#,,,,2024/02/05
, MESSI ,Clothing,,,13-13-2023
,messi,Home,N/A,5,2024/02/05
, MESSI ,,,,
528,messi,,N/A,,
, MESSI ,Home,,,2023-01-01
ORD530,,Home,,-1,13-13-2023
,,Home,,,2024/02/05
532,,??,350.46,-1,
ORD533,Messi,Clothing,499.05,,
,Messi#,Home,,,2023-01-01
,Messi,Electronics,,,13-13-2023
,Messi#,,N/A,1,13-13-2023
,Messi#,??,,-1,13-13-2023
,Messi,??,N/A,,
539, MESSI ,??,N/A,,
540,Messi!!,,,9,2023-01-01
ORD541,Messi#,Electronics,43.03,-1,2024/02/05
,Messi#,,43.23,4,2023-01-01
543,,Electronics,,4,2023-01-01
, MESSI ,Clothing,,,2023-01-01
ORD545,Messi!!,,398.16,,2024/02/05
ORD546,Messi#,,,9,
,messi,,,,2024/02/05
,Messi#,,423.72,8,2024/02/05
ORD549,,,257.51,,2024/02/05
550,Messi,??,N/A,,
,,,,,13-13-2023
,Messi!!,Clothing,N/A,,
,messi,Clothing,328.01,5,
,,,,,2024/02/05
ORD555,,??,N/A,7,2023-01-01
ORD556, MESSI ,,,10,
,Messi,Home,,,
558,,Electronics,N/A,2,13-13-2023
559,Messi!!,??,N/A,-1,2024/02/05
,Messi#,Home,N/A,-1,
,,,N/A,,2024/02/05
ORD562, MESSI ,Home,,,
,Messi#,Clothing,N/A,,
564, MESSI ,Electronics,,-1,2023-01-01
,,Clothing,76.99,,2023-01-01
ORD566, MESSI ,,414.99,6,2024/02/05
, MESSI ,Clothing,,-1,2024/02/05
,Messi!!,Electronics,102.87,-1,2023-01-01
ORD569,,Electronics,N/A,,2024/02/05
,Messi#,Electronics,,-1,
571,Messi,Clothing,320.58,,2024/02/05
ORD572,,,,5,2024/02/05
,,??,,8,
574,messi,??,,-1,
,Messi,Home,N/A,-1,2023-01-01
ORD576,Messi,Clothing,,,13-13-2023
ORD577,Messi#,,70.72,,13-13-2023
,messi,,N/A,3,13-13-2023
579,Messi,??,304.53,,
580, MESSI ,??,36.88,,2023-01-01
ORD581,,,108.38,,
,Messi,,,4,2024/02/05
,Messi,Home,,-1,
584,Messi!!,Home,249.4,8,
,,Home,,8,13-13-2023
,Messi#,Clothing,,8,
587,Messi#,Clothing,204.08,1,
,,,,1,
ORD589,,Electronics,,,13-13-2023
590,,??,,-1,2023-01-01
,Messi#,Clothing,204.86,,2023-01-01
,Messi,??,,,2023-01-01
,,,,-1,
594, MESSI ,Electronics,,-1,13-13-2023
595,,Electronics,377.99,,
,messi,Home,371.6,,13-13-2023
,Messi,Clothing,,,
,,,,-1,2024/02/05
ORD599,,Home,426.2,,2023-01-01
,Messi#,Clothing,N/A,-1,2024/02/05
601,Messi#,,,-1,
602, MESSI ,??,384.44,,2024/02/05
603,Messi,,,6,2023-01-01
604, MESSI ,,,-1,
ORD605,Messi,,,,13-13-2023
606,Messi#,,,,13-13-2023
607,,Electronics,,-1,2024/02/05
,,??,234.58,-1,2024/02/05
609,,,,,13-13-2023
610,Messi,Home,N/A,8,2023-01-01
,Messi!!,Electronics,,6,2023-01-01
, MESSI ,,235.03,,13-13-2023
,Messi!!,Home,N/A,-1,
ORD614,messi,Electronics,,,
ORD615,Messi#,Clothing,N/A,9,13-13-2023
ORD616, MESSI ,,34.67,,2024/02/05
,Messi!!,??,,1,2023-01-01
ORD618,messi,,369.99,,
, MESSI ,Electronics,,,2023-01-01
,,,,-1,
, MESSI ,,N/A,-1,
ORD622,,Home,,-1,2024/02/05
,,Home,N/A,-1,
,,Clothing,278.84,,13-13-2023
625,,??,100.1,-1,
626,Messi,Clothing,426.21,,2023-01-01
ORD627,Messi!!,Clothing,,-1,13-13-2023
ORD628, MESSI ,Clothing,,,2024/02/05
629,,,,1,
,Messi#,??,104.66,,
,,Home,N/A,-1,13-13-2023
,Messi#,??,,,2023-01-01
ORD633,Messi#,??,,,
,messi,Home,,,2024/02/05
635,messi,,289.41,,13-13-2023
, MESSI ,??,N/A,,
, MESSI ,Electronics,N/A,-1,2024/02/05
638,messi,Home,,1,13-13-2023
ORD639,Messi#,Electronics,N/A,,
,Messi!!,Electronics,,,13-13-2023
,Messi#,,249.85,-1,
642,Messi,Electronics,N/A,-1,
,,Home,N/A,,
ORD644, MESSI ,Electronics,,5,2023-01-01
, MESSI ,,,-1,2023-01-01
646,,??,,,
,messi,,226.89,-1,
,Messi,Clothing,,,
ORD649,messi,,N/A,,
, MESSI ,,280.03,-1,
651,Messi!!,,N/A,-1,
ORD652,,??,,-1,
653,Messi,,,,
ORD654,,,,-1,13-13-2023
,,??,,8,2023-01-01
,Messi#,Clothing,N/A,-1,2023-01-01
,Messi,??,,8,2024/02/05
658,,,,5,2023-01-01
,Messi,,247.27,-1,
, MESSI ,Electronics,322.81,,2024/02/05
,,Electronics,,3,13-13-2023
662,messi,??,290.84,9,
,Messi#,??,,-1,2024/02/05
664, MESSI ,Clothing,482.71,10,13-13-2023
665,,Home,301.23,1,
ORD666,Messi#,,,9,2024/02/05
,,??,,-1,13-13-2023
,Messi#,Home,,-1,
,Messi#,,,,13-13-2023
,Messi#,,N/A,,2024/02/05
671,,Home,430.29,,2024/02/05
,messi,,N/A,,
ORD673,Messi,Clothing,N/A,,
, MESSI ,??,,-1,2023-01-01
ORD675,Messi!!,Electronics,,,13-13-2023
,Messi#,Clothing,N/A,-1,2023-01-01
,,Electronics,444.36,-1,2024/02/05
,Messi!!,,N/A,-1,13-13-2023
, MESSI ,,N/A,-1,
680,,??,98.3,,2023-01-01
681,messi,Electronics,,,13-13-2023
ORD682,Messi,Electronics,,5,
683,Messi!!,Clothing,,,
, MESSI ,Clothing,,-1,
685,,,N/A,,2023-01-01
, MESSI ,Electronics,130.71,,2024/02/05
,Messi!!,Home,N/A,,2024/02/05
ORD688,,??,291.89,-1,2024/02/05
,Messi!!,Electronics,,,13-13-2023
ORD690,Messi#,,,-1,13-13-2023
691,Messi,??,,,2024/02/05
,,Electronics,,-1,2024/02/05
, MESSI ,,,,2023-01-01
ORD694,,,,,13-13-2023
, MESSI ,??,N/A,-1,
, MESSI ,,448.74,,
,messi,Electronics,108.11,,
,Messi!!,,N/A,,2024/02/05
ORD699, MESSI ,Electronics,,3,13-13-2023
,,Home,N/A,,2023-01-01
701,,Electronics,55.17,,2023-01-01
ORD702,Messi#,Clothing,,5,2024/02/05
ORD703,,??,N/A,,2024/02/05
704,,Electronics,N/A,6,
, MESSI ,Clothing,437.9,,13-13-2023
,,??,,5,
ORD707,Messi,,N/A,,
708,messi,,N/A,-1,13-13-2023
,,Clothing,N/A,,
ORD710,Messi#,,65.54,,
ORD711,Messi,??,438.23,,
,Messi#,,461.91,6,
,Messi#,??,,1,
, MESSI ,Clothing,362.43,,2024/02/05
ORD715,,,,-1,
716, MESSI ,,178.64,,13-13-2023
,Messi,Clothing,,,13-13-2023
,,,,,
,Messi#,??,,,2023-01-01
,Messi#,Clothing,N/A,,
721,Messi#,Clothing,,,
,Messi#,,341.18,,2023-01-01
,,,289.05,2,
,,,N/A,-1,13-13-2023
725,messi,Electronics,440.96,,2023-01-01
,,Electronics,,,
727,,??,58.88,,2024/02/05
,,Clothing,,4,
, MESSI ,Home,,,
,messi,,N/A,5,
731,Messi#,Electronics,,,13-13-2023
ORD732,Messi!!,Clothing,486.64,2,2024/02/05
733,messi,Clothing,,,13-13-2023
,Messi#,Electronics,,,2024/02/05
,Messi!!,Clothing,,8,
, MESSI ,Home,,-1,
,Messi#,Home,233.69,-1,13-13-2023
ORD738,Messi,Electronics,,9,
ORD739,Messi!!,??,,1,2023-01-01
, MESSI ,Electronics,,1,
741, MESSI ,,N/A,,2024/02/05
, MESSI ,??,N/A,-1,13-13-2023
,Messi#,Home,232.01,-1,
,,,,,13-13-2023
ORD745,messi,Electronics,,-1,2023-01-01
746, MESSI ,Home,N/A,,2024/02/05
,,Home,,1,13-13-2023
748,messi,,,,13-13-2023
,Messi,Home,N/A,,2023-01-01
,,Home,410.29,-1,2023-01-01
751,Messi!!,Home,,,
, MESSI ,Home,N/A,,13-13-2023
753,Messi#,Electronics,,,2024/02/05
,Messi,??,N/A,-1,2024/02/05
ORD755,messi,,,,2023-01-01
ORD756, MESSI ,,,,
,Messi,Clothing,66.63,-1,
, MESSI ,,,,13-13-2023
,messi,??,144.8,,2023-01-01
760,Messi,,N/A,,2023-01-01
,Messi,Electronics,274.32,,2023-01-01
,,Electronics,N/A,,2023-01-01
ORD763,Messi,Clothing,,,2023-01-01
,Messi!!,??,,-1,2023-01-01
765, MESSI ,,374.07,,2024/02/05
,Messi!!,Electronics,,,
,,??,,,2024/02/05
768, MESSI ,Electronics,,10,13-13-2023
,Messi!!,??,,-1,
770, MESSI ,,,-1,
771,Messi#,Electronics,,8,
772,Messi,Clothing,N/A,-1,
,,Electronics,N/A,,13-13-2023
774,,,324.58,,2024/02/05
775, MESSI ,,N/A,,13-13-2023
ORD776, MESSI ,,,-1,2024/02/05
,Messi,,487.09,,2023-01-01
778,,,,,
,Messi,Clothing,N/A,,2023-01-01
ORD780,messi,,,-1,2023-01-01
,,,,,
ORD782,Messi#,Electronics,N/A,4,2023-01-01
ORD783,,Home,N/A,,2024/02/05
,messi,??,,5,
,messi,Clothing,,,
,,Home,,3,2024/02/05
,,Clothing,N/A,10,13-13-2023
,,Home,,,2023-01-01
ORD789,,,,5,2023-01-01
,messi,Clothing,,-1,
, MESSI ,Clothing,344.03,10,
792,,,,10,2023-01-01
ORD793,messi,,N/A,,2023-01-01
, MESSI ,,N/A,,13-13-2023
,,Home,140.03,3,13-13-2023
,Messi#,Clothing,N/A,,2024/02/05
